state,year,forecast_receipts_rm_million
Johor,2024,6809.311826783747
Johor,2025,6919.504833215718
Johor,2026,7029.697839647687
Kedah,2024,4162.4773379947865
Kedah,2025,4118.33520434383
Kedah,2026,4074.193070692873
Kelantan,2024,3160.837681878664
Kelantan,2025,3093.290280901809
Kelantan,2026,3025.7428799249537
Melaka,2024,6683.288553059296
Melaka,2025,6928.166069640384
Melaka,2026,7173.043586221474
Negeri Sembilan,2024,4842.488723027271
Negeri Sembilan,2025,4907.696206851857
Negeri Sembilan,2026,4972.903690676444
Pahang,2024,6796.554923284489
Pahang,2025,6859.766218643515
Pahang,2026,6922.97751400254
Perak,2024,3124.4353492325695
Perak,2025,2630.767668638533
Perak,2026,2137.099988044497
Perlis,2024,602.1059485731217
Perlis,2025,620.341785378158
Perlis,2026,638.5776221831943
Pulau Pinang,2024,5979.769570107295
Pulau Pinang,2025,6144.803815478821
Pulau Pinang,2026,6309.838060850348
Sabah,2024,6707.490277569374
Sabah,2025,6702.465977788948
Sabah,2026,6697.441678008522
Sarawak,2024,6875.284792699791
Sarawak,2025,6807.896427757936
Sarawak,2026,6740.508062816082
Selangor,2024,11041.38837034306
Selangor,2025,10980.063624801065
Selangor,2026,10918.738879259072
Terengganu,2024,4097.166209119605
Terengganu,2025,4002.0151755938173
Terengganu,2026,3906.86414206803
WP Kuala Lumpur,2024,11237.080441097874
WP Kuala Lumpur,2025,11478.836784415558
WP Kuala Lumpur,2026,11720.593127733242
WP Labuan,2024,181.0967395785714
WP Labuan,2025,168.1293199117505
WP Labuan,2026,155.16190024492965
WP Putrajaya,2024,664.5700176553823
WP Putrajaya,2025,659.4110233237957
WP Putrajaya,2026,654.252028992209
