state,recovery_ratio_2023_vs_2019,archetype,cluster
Melaka,1.0107565780485979,recovered to baseline,0
Perlis,1.0087500591477951,recovered to baseline,0
Negeri Sembilan,0.9420730912370671,recovered to baseline,1
WP Kuala Lumpur,0.9056183609696926,recovered to baseline,1
Johor,0.9041039224663241,recovered to baseline,1
Pahang,0.8858792735082628,recovered to baseline,0
Pulau Pinang,0.8739158358003332,recovered to baseline,1
Sabah,0.8306882150273851,still lagging,0
Kedah,0.8077021742277967,still lagging,0
Sarawak,0.8007010377468994,still lagging,1
WP Putrajaya,0.7892031939657171,still lagging,2
Perak,0.720984652375031,still lagging,0
Selangor,0.7142576795358899,still lagging,1
Terengganu,0.6998845581378419,still lagging,0
Kelantan,0.6725744785103871,still lagging,0
WP Labuan,0.4950088193316347,still lagging,2
